"","CID","PROD_TYPE","PROD_MOD","PROD_MOD2","CITY","CITY2","AGE","GEN","INCOME","LOAN","NUM_FREE_VIS","NUM_PAID_VIS","FREE_AV_US","PAID_AV_US","PAID_AV_TIME","PAID_AV_FD","NUM_OVRCH","VISIT3","VISTIME_23"
"24","ABC24","SB","SB3","8","HYD","3","33","1","0.5","1","3","1","2254.66","7739.34","324","7.2","1",NA,NA
"25","ABC25","PB","PB2","10","MUM","0","42","0","17.91","0","3","1","2924.15","8954.08","262","7.1","0",NA,NA
"26","ABC26","PB","PB1","9","KOL","5","38","1","8.37","0","3","1","2816.11","7347.77","275","7.5","0",NA,NA
"27","ABC27","PB","PB1","9","CHE","4","40","0","15.65","0","3","0","3076.67",NA,NA,NA,NA,NA,NA
"28","ABC28","PB","PB2","10","DEL","2","38","0","16.25","0","2","1","3569.66","6856.24","338","6.3","0",NA,NA
"29","ABC29","SB","SB3","8","MUM","0","33","0","11.65","0","2","0","3026.58",NA,NA,NA,NA,NA,NA
"30","ABC30","SC","SC3","2","BNG","1","47","0","16.19","1","2","2","3883.15","2724.44","182","6.6","0","0",NA
"31","ABC31","PB","PB1","9","CHE","4","43","0","13.52","1","3","2","3365.13","5560.54","206","5.7","0","0",NA
"32","ABC32","PB","PB2","10","HYD","3","45","0","19.6","0","3","2","3111.61","4704.23","168","5.4","0","0",NA
"33","ABC33","SB","SB4","7","BNG","1","32","1","7.06","1","3","1","1628","8846.72","185","7.3","0",NA,NA
"34","ABC34","PB","PB1","9","KOL","5","37","0","14.51","0","3","0","3709.3",NA,NA,NA,NA,NA,NA
"35","ABC35","SC","SC1","0","BNG","1","39","0","14.48","1","3","1","2547.04","8002.37","238","6.9","0",NA,NA
"36","ABC36","SC","SC2","1","BNG","1","39","0","12.74","1","3","1","1773.13","6815.69","256","8.2","0",NA,NA
"37","ABC37","SB","SB5","5","MUM","0","40","0","9.8","0","3","1","2010.68","6604.3","288","7.3","0",NA,NA
"38","ABC38","SC","SC2","1","HYD","3","38","0","13.46","0","3","1","1393.92","7311.21","258","5.9","0",NA,NA
"39","ABC39","SC","SC1","0","MUM","0","38","1","9.15","1","1","1","3547.32","8174.81","259","7.9","1",NA,NA
"40","ABC40","SC","SC1","0","CHE","4","35","0","7.72","0","3","2","2049.62","3036.84","173","7.3","1","1","344"
"41","ABC41","PB","PB1","9","BNG","1","40","1","9.73","0","1","2","4418.61","6342.66","221","5.7","0","0",NA
"42","ABC42","PB","PB2","10","KOL","5","38","0","17.1","0","3","2","3092.41","5334.59","176","7.9","0","0",NA
"43","ABC43","PB","PB2","10","DEL","2","24","1","0","0","1","1","5724.77","7703.08","293","7.5","0",NA,NA
"44","ABC44","PB","PB1","9","HYD","3","48","1","18.97","0","3","2","3526.94","5188.34","174","6.6","0","0",NA
"45","ABC45","PB","PB2","10","MUM","0","45","1","13.06","0","3","1","3048.97","9046.72","335","8","1",NA,NA
"46","ABC46","SB","SB4","7","CHE","4","33","0","10.33","1","3","1","1874.67","8639.6","280","8.4","0",NA,NA
"47","ABC47","SB","SB4","7","BNG","1","41","0","14.64","0","3","1","2367.26","8217.48","221","8.8","0",NA,NA
"48","ABC48","SB","SB4","7","KOL","5","37","1","12.86","1","3","1","2016.61","6577.5","255","7","0",NA,NA
"49","ABC49","SB","SB5","5","CHE","4","43","0","17.93","1","3","1","2430.33","8959.32","338","7.4","0",NA,NA
"50","ABC50","SB","SB3","8","MUM","0","46","0","17.08","0","3","1","2116.04","7986.03","269","7.3","0",NA,NA
"51","ABC51","SB","SB2","4","HYD","3","39","0","15.35","0","3","1","2006.69","5827.93","308","6.1","0",NA,NA
"52","ABC52","SB","SB5","5","MUM","0","47","0","16.29","0","2","2","4042.84","3609.08","158","8.5","0","0",NA
"53","ABC53","SB","SB4","7","DEL","2","39","1","9.77","0","3","2","2116.14","3166.06","184","5.7","0","0",NA
"54","ABC54","SB","SB4","7","HYD","3","35","0","8.57","0","3","0","2529.81",NA,NA,NA,NA,NA,NA
"55","ABC55","PB","PB2","10","BNG","1","30","1","5.93","1","3","1","2439.3","6600.05","286","6.7","0",NA,NA
"56","ABC56","PB","PB2","10","CHE","4","38","0","17.95","1","2","1","3471.31","8002.57","300","4.9","0",NA,NA
"57","ABC57","SB","SB1","6","KOL","5","32","0","10.14","1","3","1","2398.75","8544.22","282","6.9","0",NA,NA
"58","ABC58","PB","PB1","9","KOL","5","36","0","10.25","1","3","0","3497.76",NA,NA,NA,NA,NA,NA
"59","ABC59","SC","SC3","2","KOL","5","35","0","7.82","1","3","2","1898.39","1631.37","180","8.9","0","0",NA
"60","ABC60","SC","SC2","1","KOL","5","39","0","17.08","1","2","0","3647.22",NA,NA,NA,NA,NA,NA
"61","ABC61","SC","SC4","3","HYD","3","49","1","15.22","0","3","1","2307.01","8716.38","225","6.1","0",NA,NA
"62","ABC62","SB","SB3","8","BNG","1","36","0","11.48","0","2","2","3259.15","2746.14","200","5.9","0","0",NA
"63","ABC63","PB","PB1","9","CHE","4","41","0","15.64","0","3","1","3225.74","7529.75","335","7.7","0",NA,NA
"64","ABC64","PB","PB2","10","HYD","3","40","0","13.57","1","3","1","3189.38","10923.95","211","5.3","0",NA,NA
"65","ABC65","PB","PB1","9","MUM","0","38","0","11.08","0","2","2","3109.46","4589.21","190","7","0","0",NA
"66","ABC66","PB","PB2","10","HYD","3","37","0","12.84","1","3","2","2680.63","4372.84","180","7","0","0",NA
"67","ABC67","SC","SC3","2","MUM","0","47","0","21.89","0","3","0","2093.35",NA,NA,NA,NA,NA,NA
"68","ABC68","SB","SB4","7","HYD","3","30","1","0","0","2","2","4634.56","2707.06","186","7.6","2","0",NA
"69","ABC69","SB","SB4","7","CHE","4","44","0","15.56","1","3","1","1573.17","5870.28","227","5.2","0",NA,NA
"70","ABC70","SC","SC2","1","KOL","5","44","0","18.14","0","2","1","3235.48","8251.47","252","6.7","0",NA,NA
"71","ABC71","SB","SB4","7","HYD","3","37","0","15.63","1","3","1","1184.64","8691.99","321","7.9","0",NA,NA
"72","ABC72","PB","PB1","9","MUM","0","34","0","12.01","0","3","2","2792.89","4046.16","198","7.2","1","0",NA
"73","ABC73","SB","SB1","6","MUM","0","38","0","14.17","1","2","0","3978.7",NA,NA,NA,NA,NA,NA
"74","ABC74","SC","SC3","2","HYD","3","41","0","14.15","1","3","0","2272.16",NA,NA,NA,NA,NA,NA
"75","ABC75","SC","SC4","3","KOL","5","39","1","6.75","0","3","1","1821.79","6743.02","289","7.9","1",NA,NA
"76","ABC76","SC","SC1","0","DEL","2","41","0","18.02","1","2","1","4399.81","7692.39","255","8.2","0",NA,NA
"77","ABC77","SB","SB4","7","BNG","1","43","0","19.46","0","2","2","4829.22","2741.57","182","3.7","0","0",NA
"78","ABC78","PB","PB1","9","DEL","2","43","0","16.83","1","3","1","2892.64","8233.51","300","9.3","1",NA,NA
"79","ABC79","PB","PB1","9","DEL","2","41","0","9.35","1","3","1","3101.28","7664.38","286","6.8","0",NA,NA
"80","ABC80","SB","SB5","5","MUM","0","38","0","13.38","0","3","1","1833.92","8266.48","283","6.2","0",NA,NA
"81","ABC81","SC","SC4","3","BNG","1","42","1","10.73","0","3","1","1887.26","7123.32","300","8.3","0",NA,NA
"82","ABC82","SB","SB2","4","HYD","3","41","0","13.06","0","2","0","4591.19",NA,NA,NA,NA,NA,NA
"83","ABC83","SC","SC3","2","MUM","0","39","1","8.75","1","3","1","2115.48","8907.09","254","5.7","0",NA,NA
"84","ABC84","PB","PB2","10","HYD","3","44","1","14.53","1","2","2","4120.32","4806.12","178","7.4","0","0",NA
"85","ABC85","SB","SB1","6","HYD","3","40","0","10.95","0","3","0","1836.94",NA,NA,NA,NA,NA,NA
"86","ABC86","PB","PB2","10","MUM","0","37","0","15.95","0","2","0","4687.03",NA,NA,NA,NA,NA,NA
"87","ABC87","SC","SC1","0","DEL","2","38","0","11.38","1","2","1","3644.38","7864.46","252","8.4","0",NA,NA
"88","ABC88","SB","SB2","4","BNG","1","40","0","16.21","0","3","1","2487.74","8803.37","282","7.4","1",NA,NA
"89","ABC89","SC","SC4","3","MUM","0","32","0","2.73","0","2","0","3432.68",NA,NA,NA,NA,NA,NA
"90","ABC90","PB","PB2","10","MUM","0","37","0","7.26","1","2","0","3401.3",NA,NA,NA,NA,NA,NA
"91","ABC91","SC","SC1","0","DEL","2","37","0","11.23","0","2","1","4940.27","7949.69","326","6.2","1",NA,NA
"92","ABC92","SB","SB3","8","KOL","5","53","0","22.51","0","3","2","1544.7","2552.36","204","8.5","0","0",NA
"93","ABC93","SC","SC3","2","HYD","3","32","0","5.41","1","3","1","2461.4","8497.57","203","6.6","0",NA,NA
"94","ABC94","SB","SB5","5","HYD","3","37","1","7.62","1","2","1","3130.12","9344.37","295","6.2","0",NA,NA
"95","ABC95","SC","SC4","3","DEL","2","40","0","12.59","0","2","2","3751.39","3503.53","151","6.6","0","1","317"
"96","ABC96","SC","SC3","2","DEL","2","45","0","19.41","1","2","1","2659.33","7371.23","223","7","0",NA,NA
"97","ABC97","PB","PB1","9","CHE","4","50","0","22.02","0","3","0","2953.69",NA,NA,NA,NA,NA,NA
"98","ABC98","SC","SC2","1","BNG","1","35","0","7.84","1","2","0","4168.59",NA,NA,NA,NA,NA,NA
"99","ABC99","PB","PB1","9","HYD","3","38","0","7.88","1","3","1","3251.5","8170.69","229","7","0",NA,NA
"100","ABC100","SB","SB2","4","KOL","5","39","1","12.79","1","3","1","2567.12","7357.65","343","6.6","1",NA,NA
"101","ABC101","SB","SB3","8","BNG","1","41","1","4.66","1","3","1","1758.94","7758.25","279","6.4","0",NA,NA
"102","ABC102","SC","SC1","0","HYD","3","44","0","13.22","0","2","0","3389.35",NA,NA,NA,NA,NA,NA
"103","ABC103","PB","PB1","9","BNG","1","45","0","14.56","1","2","2","3482.45","5069.22","160","8.1","0","0",NA
"104","ABC104","SB","SB4","7","BNG","1","45","0","13.39","0","3","1","1710.11","7658.68","222","8.7","0",NA,NA
"105","ABC105","PB","PB1","9","BNG","1","43","0","15.05","0","2","1","3565.22","8236.44","269","5.8","1",NA,NA
"106","ABC106","SB","SB4","7","DEL","2","40","0","12.18","0","1","1","3865.33","9530.14","277","6","0",NA,NA
"107","ABC107","PB","PB1","9","KOL","5","46","0","19.91","0","3","0","3116.84",NA,NA,NA,NA,NA,NA
"108","ABC108","SC","SC2","1","DEL","2","54","0","20.98","0","1","0","6281.71",NA,NA,NA,NA,NA,NA
"109","ABC109","PB","PB1","9","MUM","0","42","0","12.16","1","3","2","2585.35","4955.99","164","7.3","0","0",NA
"110","ABC110","SC","SC3","2","KOL","5","42","1","11.07","0","2","1","4478.83","8621.26","291","7.4","0",NA,NA
"111","ABC111","PB","PB1","9","KOL","5","50","0","20.7","0","3","2","2846.82","4614.41","167","7","1","0",NA
"112","ABC112","SB","SB3","8","KOL","5","35","1","4.22","1","3","1","1912.31","8151.33","256","5.9","0",NA,NA
"113","ABC113","SC","SC3","2","CHE","4","43","1","12.38","0","3","0","2246.49",NA,NA,NA,NA,NA,NA
"114","ABC114","SC","SC4","3","CHE","4","45","0","21.1","0","3","0","1290.55",NA,NA,NA,NA,NA,NA
"115","ABC115","SC","SC2","1","HYD","3","40","1","18.19","1","3","2","1996.06","3188.76","211","8.1","0","0",NA
"116","ABC116","SB","SB4","7","BNG","1","40","0","9.24","1","2","1","4623.19","8267.45","245","5.3","0",NA,NA
"117","ABC117","SB","SB2","4","DEL","2","35","0","12.51","0","2","1","4913.26","7208.37","303","6.2","0",NA,NA
"118","ABC118","SC","SC4","3","MUM","0","32","1","3.88","0","3","1","1890.2","6648.95","221","4.7","0",NA,NA
"119","ABC119","PB","PB2","10","KOL","5","37","1","10.93","1","3","0","3081.76",NA,NA,NA,NA,NA,NA
"120","ABC120","SC","SC2","1","HYD","3","44","0","15.94","0","3","0","1309.73",NA,NA,NA,NA,NA,NA
"121","ABC121","SB","SB5","5","MUM","0","39","0","13.65","1","3","0","2570.75",NA,NA,NA,NA,NA,NA
"122","ABC122","PB","PB1","9","KOL","5","27","0","8.68","0","3","0","3222.85",NA,NA,NA,NA,NA,NA
"123","ABC123","SC","SC3","2","DEL","2","35","0","4.1","0","3","1","2483.34","8324.46","247","7.1","0",NA,NA
"124","ABC124","SB","SB3","8","DEL","2","45","0","14","1","2","0","4247.28",NA,NA,NA,NA,NA,NA
"125","ABC125","SC","SC4","3","HYD","3","41","1","9.55","1","3","1","1953.91","9610.21","317","7.5","0",NA,NA
"126","ABC126","SC","SC4","3","KOL","5","39","1","5.64","0","3","1","2161.1","7820.08","273","6.6","0",NA,NA
"127","ABC127","PB","PB2","10","KOL","5","53","0","24.8","0","3","1","3090.08","8567.82","254","6.2","0",NA,NA
"128","ABC128","PB","PB1","9","KOL","5","42","0","14.06","0","2","0","4073.35",NA,NA,NA,NA,NA,NA
"129","ABC129","SB","SB5","5","MUM","0","49","0","20.98","0","2","1","3682.74","6750.24","238","8","0",NA,NA
"130","ABC130","PB","PB1","9","CHE","4","43","1","13.54","0","2","0","3681.63",NA,NA,NA,NA,NA,NA
"131","ABC131","SB","SB2","4","MUM","0","40","0","14.21","1","3","1","2061.38","8321.18","291","6","0",NA,NA
"132","ABC132","SC","SC4","3","MUM","0","39","1","11.1","1","2","2","4680.83","3945.08","156","8.1","0","0",NA
"133","ABC133","SB","SB4","7","CHE","4","41","0","17.54","1","3","1","1831.5","9601.93","319","6.4","1",NA,NA
"134","ABC134","PB","PB1","9","HYD","3","41","1","8","1","3","2","2971.99","4972.27","184","7.8","0","0",NA
"135","ABC135","SC","SC2","1","HYD","3","45","0","17.04","1","3","1","2526.15","6516.26","327","6.9","0",NA,NA
"136","ABC136","SC","SC3","2","HYD","3","45","1","10.79","1","3","2","2019.91","3541.85","196","7","0","0",NA
"137","ABC137","SC","SC1","0","KOL","5","35","0","10.96","1","3","1","1446.21","7089.53","215","6.4","0",NA,NA
"138","ABC138","SC","SC4","3","MUM","0","43","1","12.48","1","3","0","2232.2",NA,NA,NA,NA,NA,NA
"139","ABC139","SB","SB5","5","CHE","4","49","1","15.7","0","3","2","1771.35","3424.14","164","8.6","0","1","358"
"140","ABC140","PB","PB1","9","KOL","5","37","1","6.67","0","2","2","5133.79","4711.36","165","5.9","0","0",NA
"141","ABC141","PB","PB1","9","HYD","3","49","0","14.05","1","3","0","3206.97",NA,NA,NA,NA,NA,NA
"142","ABC142","SB","SB2","4","DEL","2","42","1","7.54","1","3","1","2160.53","10641.53","205","6.9","0",NA,NA
"143","ABC143","PB","PB1","9","DEL","2","48","0","21.53","0","2","0","3531.9",NA,NA,NA,NA,NA,NA
"144","ABC144","SB","SB2","4","KOL","5","45","0","14.2","0","2","0","4022.19",NA,NA,NA,NA,NA,NA
"145","ABC145","SC","SC4","3","DEL","2","35","0","10.04","0","3","0","2329.04",NA,NA,NA,NA,NA,NA
"146","ABC146","SC","SC4","3","MUM","0","41","1","15.52","0","3","1","1738.02","7667.83","313","7.7","0",NA,NA
"147","ABC147","SC","SC3","2","MUM","0","40","1","6.29","0","2","1","4241.43","7338.25","302","7.6","1",NA,NA
"148","ABC148","SC","SC1","0","MUM","0","41","1","15.32","1","2","1","3507.19","7465.6","282","6.1","0",NA,NA
"149","ABC149","PB","PB1","9","KOL","5","40","1","8","1","3","2","3088.41","4643.64","199","6.9","0","0",NA
"150","ABC150","SC","SC2","1","KOL","5","37","0","13.99","1","3","1","2859.15","7986.9","273","6.9","0",NA,NA
"151","ABC151","SC","SC2","1","KOL","5","40","1","13.45","0","3","1","3024.88","6290.25","272","8.3","1",NA,NA
"152","ABC152","SC","SC4","3","HYD","3","42","0","11.47","0","3","0","1898.09",NA,NA,NA,NA,NA,NA
"153","ABC153","PB","PB1","9","HYD","3","39","0","16.42","1","3","1","2665.75","6554.25","249","7.3","1",NA,NA
"154","ABC154","SB","SB2","4","BNG","1","34","0","6.6","0","3","0","2070.74",NA,NA,NA,NA,NA,NA
"155","ABC155","PB","PB2","10","DEL","2","35","0","10.41","1","2","1","3901.3","7972.02","306","8.2","0",NA,NA
"156","ABC156","SC","SC1","0","KOL","5","48","0","19.76","0","3","1","2033.1","6812.06","208","8.1","0",NA,NA
"157","ABC157","SB","SB3","8","HYD","3","34","1","8.38","1","3","1","1951.85","8436.69","281","7.9","0",NA,NA
"158","ABC158","SC","SC3","2","MUM","0","37","0","8.23","0","2","2","3662.93","3497.67","178","7.6","0","0",NA
"159","ABC159","SB","SB5","5","CHE","4","43","1","14.47","1","1","2","4743.27","3278.82","156","7.5","0","1","301"
"160","ABC160","SC","SC4","3","HYD","3","37","0","9.72","0","2","2","3294.24","2329.75","177","9.2","0","0",NA
"161","ABC161","PB","PB2","10","MUM","0","34","1","1.93","0","2","1","4448.06","7834.07","315","6.1","0",NA,NA
"162","ABC162","PB","PB1","9","KOL","5","38","0","9.27","1","2","2","3195.88","4934.8","187","5.5","0","0",NA
"163","ABC163","SB","SB5","5","DEL","2","31","0","4.57","0","1","2","6819.74","2585.15","186","6.4","1","0",NA
"164","ABC164","SC","SC3","2","BNG","1","37","1","7.72","1","3","0","1780.1",NA,NA,NA,NA,NA,NA
"165","ABC165","PB","PB1","9","BNG","1","44","0","12.61","1","2","0","3636.35",NA,NA,NA,NA,NA,NA
"166","ABC166","PB","PB1","9","HYD","3","43","0","15.6","0","2","1","3591.04","6930.28","304","5.8","0",NA,NA
"167","ABC167","PB","PB1","9","BNG","1","38","1","8.23","0","3","0","2865.23",NA,NA,NA,NA,NA,NA
"168","ABC168","SB","SB3","8","KOL","5","29","0","9.25","0","3","2","1607.17","3283.69","164","6.9","0","0",NA
"169","ABC169","SC","SC2","1","DEL","2","48","0","18.72","0","3","1","1872.43","7864.24","278","8.7","0",NA,NA
"170","ABC170","SC","SC3","2","DEL","2","44","0","16.87","0","3","1","2827.22","8503.57","348","6.3","0",NA,NA
"171","ABC171","SB","SB2","4","HYD","3","33","0","11.14","0","3","1","1687.84","8069.66","311","8.6","0",NA,NA
"172","ABC172","PB","PB1","9","BNG","1","34","1","5.88","1","3","0","3001.32",NA,NA,NA,NA,NA,NA
"173","ABC173","SC","SC2","1","CHE","4","50","1","21.25","0","3","0","1517.08",NA,NA,NA,NA,NA,NA
"174","ABC174","PB","PB2","10","BNG","1","38","1","10.29","0","2","1","3722.5","8320.42","267","6.5","1",NA,NA
"175","ABC175","SC","SC1","0","BNG","1","45","1","7.61","1","3","1","2560.03","7896.44","204","7.2","0",NA,NA
"176","ABC176","PB","PB1","9","BNG","1","41","0","21.31","0","2","1","4397.6","8260.24","300","7.3","0",NA,NA
"177","ABC177","PB","PB1","9","DEL","2","39","0","13.49","1","3","2","2980.67","5669.31","192","6.6","0","0",NA
"178","ABC178","PB","PB1","9","HYD","3","47","1","10.8","1","2","2","3920.94","6120.16","195","6.7","0","0",NA
"179","ABC179","SB","SB4","7","HYD","3","33","1","7.06","0","3","0","1350.49",NA,NA,NA,NA,NA,NA
"180","ABC180","PB","PB1","9","KOL","5","40","0","11.56","0","3","1","2650.64","8414.28","196","6.3","0",NA,NA
"181","ABC181","SC","SC3","2","BNG","1","39","1","6.62","1","3","0","1967.89",NA,NA,NA,NA,NA,NA
"182","ABC182","PB","PB1","9","CHE","4","46","1","8.19","1","3","2","3179.34","4714.9","207","8","0","0",NA
"183","ABC183","SB","SB5","5","HYD","3","47","1","15.3","1","2","1","2860.65","6701.71","247","8.2","1",NA,NA
"184","ABC184","PB","PB1","9","CHE","4","35","1","10.4","0","3","1","3024.44","8548.31","240","6.2","1",NA,NA
"185","ABC185","SC","SC1","0","MUM","0","37","0","15.58","0","3","0","1739.53",NA,NA,NA,NA,NA,NA
"186","ABC186","SC","SC1","0","KOL","5","41","0","13.18","0","2","1","3835.86","7470.78","291","7.4","0",NA,NA
"187","ABC187","SC","SC4","3","BNG","1","48","0","18.66","0","3","2","2387.26","3398.59","185","7","0","0",NA
"188","ABC188","SB","SB4","7","KOL","5","37","1","10.09","0","3","1","1059.08","7061.46","318","7.3","0",NA,NA
"189","ABC189","SB","SB3","8","DEL","2","33","0","12.77","1","3","1","1951.7","8332.29","234","6.9","0",NA,NA
"190","ABC190","SB","SB3","8","CHE","4","31","0","8.76","0","3","1","1462.11","8101.37","259","7.2","1",NA,NA
"191","ABC191","SC","SC2","1","CHE","4","39","0","15.91","0","3","1","2040.2","10575.9","249","8.5","0",NA,NA
"192","ABC192","SB","SB3","8","MUM","0","37","1","10.27","1","1","2","3007.43","3445.77","165","5.2","0","0",NA
"193","ABC193","PB","PB1","9","MUM","0","41","0","15.67","1","2","2","4185.99","5336.02","189","7.1","0","0",NA
"194","ABC194","SB","SB4","7","MUM","0","32","1","0","1","2","1","4679.53","8338.53","351","7.4","0",NA,NA
"195","ABC195","PB","PB2","10","CHE","4","47","0","21.2","0","2","0","3875.09",NA,NA,NA,NA,NA,NA
"196","ABC196","PB","PB1","9","KOL","5","39","0","13.44","0","3","2","3270.97","5184.4","166","7.1","0","0",NA
"197","ABC197","SC","SC4","3","HYD","3","33","0","12.28","0","3","0","2465.86",NA,NA,NA,NA,NA,NA
"198","ABC198","SB","SB1","6","DEL","2","45","1","14.87","0","3","1","1494.2","8877.53","280","7.5","0",NA,NA
"199","ABC199","PB","PB2","10","HYD","3","37","1","4.97","0","3","1","2942.25","7596.85","201","6.9","0",NA,NA
"200","ABC200","SB","SB1","6","DEL","2","35","0","15.37","0","3","1","1597.4","7374.32","174","6.6","0",NA,NA
"201","ABC201","SC","SC4","3","MUM","0","44","0","18.81","0","2","1","4130.17","8172.45","273","8","0",NA,NA
"202","ABC202","SC","SC4","3","MUM","0","37","0","12.71","1","2","1","5139.67","7923.79","260","7","0",NA,NA
"203","ABC203","PB","PB1","9","KOL","5","47","1","11.94","1","3","2","2913.98","5637.65","220","6.8","0","0",NA
"204","ABC204","SC","SC2","1","DEL","2","40","0","12.16","0","3","2","1961.58","3375.49","217","6.9","1","0",NA
"205","ABC205","PB","PB1","9","KOL","5","37","1","6.44","0","2","0","3746.34",NA,NA,NA,NA,NA,NA
"206","ABC206","PB","PB1","9","DEL","2","38","0","10.62","1","3","1","3120.66","7629.25","263","5.2","0",NA,NA
"207","ABC207","PB","PB1","9","MUM","0","38","0","11.9","0","2","0","3586.59",NA,NA,NA,NA,NA,NA
"208","ABC208","PB","PB1","9","BNG","1","40","1","9.75","0","3","1","2987.46","7786.68","239","9.3","0",NA,NA
"209","ABC209","SC","SC1","0","MUM","0","42","0","21.39","0","1","1","3925.91","7641.73","285","8.4","0",NA,NA
"210","ABC210","SC","SC4","3","KOL","5","39","0","13.63","0","1","1","5799.59","9136.82","366","6","0",NA,NA
"211","ABC211","SC","SC2","1","DEL","2","37","1","8.25","1","1","2","3987.82","3128.33","168","7.3","0","0",NA
"212","ABC212","SB","SB1","6","MUM","0","32","1","9.52","1","3","1","3072.51","8038.92","296","6.8","0",NA,NA
"213","ABC213","SC","SC3","2","DEL","2","42","0","17.36","0","3","0","2449.53",NA,NA,NA,NA,NA,NA
"214","ABC214","SB","SB4","7","MUM","0","38","0","6.91","0","3","1","1924.14","9478.04","336","6.5","0",NA,NA
"215","ABC215","SB","SB1","6","KOL","5","44","0","20.81","0","3","1","2003.86","7804.26","228","7.3","0",NA,NA
"216","ABC216","PB","PB2","10","CHE","4","27","0","9.7","0","2","1","4091.26","9004.72","253","6.4","0",NA,NA
"217","ABC217","PB","PB2","10","HYD","3","39","0","6.06","0","3","1","2562.05","8106.19","247","7.3","0",NA,NA
"218","ABC218","SC","SC1","0","BNG","1","44","0","13.77","0","3","0","1962.48",NA,NA,NA,NA,NA,NA
"219","ABC219","SC","SC4","3","HYD","3","44","1","8.26","1","3","1","2023.03","8583.93","277","8.4","0",NA,NA
"220","ABC220","SC","SC4","3","DEL","2","46","0","23.02","0","3","2","1338.01","2170.95","160","5.8","0","0",NA
"221","ABC221","SB","SB1","6","CHE","4","44","0","18.71","0","3","1","1710.7","7665","219","5.7","0",NA,NA
"222","ABC222","PB","PB2","10","DEL","2","39","0","18.42","1","2","1","4341.16","7357.8","284","6.4","0",NA,NA
"223","ABC223","SC","SC2","1","KOL","5","47","0","20.23","0","2","1","3276.72","7940.32","235","7.5","0",NA,NA
"224","ABC224","SB","SB2","4","DEL","2","46","0","16.67","1","2","0","4630.75",NA,NA,NA,NA,NA,NA
"225","ABC225","SC","SC4","3","BNG","1","36","1","10.35","0","3","1","2096.64","8201.42","287","6.9","1",NA,NA
"226","ABC226","SC","SC2","1","KOL","5","46","1","14.61","1","2","2","3500.77","3644.13","172","5.6","1","0",NA
"227","ABC227","SB","SB2","4","DEL","2","42","0","18.75","0","2","1","3419.38","8805.34","246","7.1","0",NA,NA
